"","Issue","State","ZIP_code","Count","Latitude","Longitude"
"76","Loan servicing，payments，escrow account","WV",25425,2,39.2692,-77.7695
"77","Loan servicing，payments，escrow account","WV",25420,2,39.385,-78.0998
"78","Loan servicing，payments，escrow account","WV",25419,3,39.5736,-77.8753
"79","Loan servicing，payments，escrow account","WV",25414,3,39.248,-77.8702
"80","Loan servicing，payments，escrow account","WV",25413,3,39.3096,-78.053
"81","Loan servicing，payments，escrow account","WV",25411,2,39.5344,-78.2416
"82","Loan servicing，payments，escrow account","WV",25405,3,39.4109,-77.9636
"83","Loan servicing，payments，escrow account","WV",25404,5,39.4845,-77.9121
"84","Loan servicing，payments，escrow account","WV",25403,3,39.4819,-78.0206
"85","Loan servicing，payments，escrow account","WV",25402,5,39.4782,-77.9579
"86","Loan servicing，payments，escrow account","WV",25320,1,38.5414,-81.613
"87","Loan servicing，payments，escrow account","WV",25313,3,38.4176,-81.764
"88","Loan servicing，payments，escrow account","WV",25311,1,38.3558,-81.5506
"89","Loan servicing，payments，escrow account","WV",25304,1,38.28,-81.5987
"90","Loan servicing，payments，escrow account","WV",25303,1,38.3593,-81.6809
"91","Loan servicing，payments，escrow account","WV",25302,4,38.3931,-81.6034
"92","Loan servicing，payments，escrow account","WV",25275,2,38.929,-81.6254
"93","Loan servicing，payments，escrow account","WV",25239,1,38.834,-81.8437
"94","Loan servicing，payments，escrow account","WV",25213,1,38.4895,-81.9285
"95","Loan servicing，payments，escrow account","WV",25177,2,38.3654,-81.8328
"96","Loan servicing，payments，escrow account","WV",25159,3,38.516,-81.7698
"97","Loan servicing，payments，escrow account","WV",25156,1,38.409,-81.4815
"98","Loan servicing，payments，escrow account","WV",25071,1,38.4573,-81.476
"99","Loan servicing，payments，escrow account","WV",25064,1,38.3784,-81.7474
"100","Loan servicing，payments，escrow account","WV",25031,1,38.1477,-81.2675
"101","Loan servicing，payments，escrow account","WV",24991,1,37.9444,-80.5014
"102","Loan servicing，payments，escrow account","WV",24986,1,37.8637,-80.2671
"103","Loan servicing，payments，escrow account","WV",24920,1,38.579,-79.7177
"104","Loan servicing，payments，escrow account","WV",24910,1,37.7453,-80.6892
"105","Loan servicing，payments，escrow account","WV",24739,2,37.383,-80.9662
"106","Loan servicing，payments，escrow account","WV",24701,1,37.3042,-81.2092
"107","Loan servicing，payments，escrow account","WI",57326,1,43.8113,-99.33
"108","Loan servicing，payments，escrow account","WI",54984,1,44.1726,-89.2283
"109","Loan servicing，payments，escrow account","WI",54982,3,44.0775,-89.2648
"110","Loan servicing，payments，escrow account","WI",54974,1,43.777,-88.6302
"111","Loan servicing，payments，escrow account","WI",54971,1,43.8707,-88.8231
"112","Loan servicing，payments，escrow account","WI",54963,1,44.0484,-88.7745
"113","Loan servicing，payments，escrow account","WI",54961,1,44.4045,-88.7758
"114","Loan servicing，payments，escrow account","WI",54956,6,44.1815,-88.5126
"115","Loan servicing，payments，escrow account","WI",54949,1,44.4922,-88.9019
"116","Loan servicing，payments，escrow account","WI",54945,1,44.5821,-89.1313
"117","Loan servicing，payments，escrow account","WI",54942,2,44.3009,-88.5491
"118","Loan servicing，payments，escrow account","WI",54935,3,43.833,-88.4255
"119","Loan servicing，payments，escrow account","WI",54921,1,44.3021,-89.5521
"120","Loan servicing，payments，escrow account","WI",54915,4,44.2448,-88.3639
"121","Loan servicing，payments，escrow account","WI",54914,4,44.2642,-88.5505
"122","Loan servicing，payments，escrow account","WI",54911,3,44.2732,-88.3901
"123","Loan servicing，payments，escrow account","WI",54904,2,44.0275,-88.6179
"124","Loan servicing，payments，escrow account","WI",54901,4,44.0527,-88.4907
"125","Loan servicing，payments，escrow account","WI",54893,2,45.858,-92.3339
"126","Loan servicing，payments，escrow account","WI",54888,1,45.9754,-91.8476
"127","Loan servicing，payments，escrow account","WI",54880,3,46.5835,-92.2186
"128","Loan servicing，payments，escrow account","WI",54874,3,46.5407,-91.9662
"129","Loan servicing，payments，escrow account","WI",54873,1,46.329,-91.847
"130","Loan servicing，payments，escrow account","WI",54872,1,45.7767,-92.3979
"131","Loan servicing，payments，escrow account","WI",54868,1,45.5222,-91.6975
"132","Loan servicing，payments，escrow account","WI",54853,1,45.5799,-92.4545
"133","Loan servicing，payments，escrow account","WI",54850,1,46.7841,-90.7864
"134","Loan servicing，payments，escrow account","WI",54843,1,46.0192,-91.2745
"135","Loan servicing，payments，escrow account","WI",54840,1,45.747,-92.6675
"136","Loan servicing，payments，escrow account","WI",54830,1,46.1292,-92.181
"137","Loan servicing，payments，escrow account","WI",54819,1,45.4715,-91.2949
"138","Loan servicing，payments，escrow account","WI",54812,2,45.3966,-91.8778
"139","Loan servicing，payments，escrow account","WI",54806,1,46.5564,-90.8804
"140","Loan servicing，payments，escrow account","WI",54801,1,45.8758,-91.9908
"141","Loan servicing，payments，escrow account","WI",54768,2,44.9226,-90.9327
"142","Loan servicing，payments，escrow account","WI",54767,1,44.8313,-92.2779
"143","Loan servicing，payments，escrow account","WI",54754,3,44.4308,-90.788
